driverId,week,hours-logged,miles-logged
35,24,68,2400
25,27,52,600
98,34,57,2500
79,34,64,900
89,40,55,2300
15,18,72,2700
50,26,78,3100
99,1,71,100
87,24,52,3300
104,28,66,600
16,15,58,300
23,16,62,200
19,2,54,1500
77,19,52,1900
92,31,64,3100
14,37,58,2500
85,35,80,1300
23,9,65,3900
39,45,72,2600
95,14,66,3100
16,37,72,0
33,30,77,4000
68,50,58,3600
89,45,65,1900
84,17,77,3200
103,6,61,2700
103,51,63,3200
100,37,51,300
51,25,59,3700
51,5,63,700
105,32,79,4000
25,11,71,2500
26,52,57,3800
103,19,71,3600
80,49,53,2600
98,6,55,100
33,25,54,1800
50,49,80,3000
79,25,62,1000
80,47,58,3900
49,32,63,200
41,39,73,1500
86,51,57,500
103,26,55,3700
72,43,59,900
49,23,71,900
13,50,53,2500
16,35,75,1600
93,37,77,2000
30,32,64,3600
105,8,62,2400
89,6,73,1100
104,35,68,2800
85,2,57,1400
81,47,59,900
34,14,67,3500
35,49,75,1000
96,33,61,2400
107,15,64,1200
47,30,61,1700
18,1,64,1500
19,31,60,2900
28,41,54,1800
88,2,57,800
94,10,59,3100
63,8,70,2300
64,26,77,1300
30,30,80,1800
75,23,65,2200
16,30,79,3100
68,39,78,3100
79,24,73,700
91,31,78,3700
74,46,64,2900
50,10,51,1700
71,6,71,1700
86,38,53,100
42,25,51,100
32,9,72,2600
67,24,61,2000
69,52,68,3600
23,39,62,1300
56,3,53,3600
59,49,74,0
86,18,58,3700
101,22,67,3000
81,26,66,1200
107,47,63,600
35,50,54,3400
101,2,54,3400
51,46,66,3000
79,33,67,2800
74,42,53,2600
102,20,65,2000
41,3,71,2700
52,16,77,3900
94,20,77,1200
40,13,59,3600
82,40,79,1500
35,48,59,3400
13,18,60,3500
31,34,63,3800
25,13,80,2800
42,30,72,3100
51,7,50,3300
71,14,58,1000
65,42,58,100
72,51,71,500
64,31,55,200
15,40,52,2200
34,50,75,1900
53,46,63,1000
108,29,72,2500
91,23,54,300
50,5,52,2000
90,13,50,1000
81,44,51,4000
10,29,69,700
39,43,59,1400
60,4,77,3100
79,17,62,300
56,32,70,3800
98,45,51,1800
17,2,80,3800
98,15,76,1500
17,3,58,4000
34,17,63,3700
14,1,65,3300
78,42,71,2300
79,14,60,3600
73,9,61,2800
66,33,78,1800
83,38,78,3200
36,51,63,1600
58,7,68,1600
41,29,65,700
20,9,62,1900
63,43,67,1900
108,28,62,0
101,28,68,600
24,14,77,3800
99,2,69,2400
40,6,52,3100
59,3,62,1800
105,23,78,3300
65,41,59,1900
40,45,65,600
80,45,53,3800
32,17,51,200
96,26,64,100
73,34,78,2100
82,21,75,3100
48,20,52,3200
35,18,53,1600
67,52,50,0
96,4,73,2200
90,48,50,3300
60,21,60,1100
46,30,57,1700
31,17,58,3800
63,35,59,2800
82,48,70,3000
13,40,62,3000
105,34,65,2800
11,14,57,2600
29,41,75,3300
60,6,61,400
45,18,73,100
90,14,72,1900
55,45,80,800
91,33,55,3600
75,25,78,0
73,19,67,2300
60,23,68,1700
54,9,76,3300
98,39,80,3400
73,25,80,3900
34,6,65,300
42,28,78,1600
50,4,78,2300
94,32,74,200
103,2,71,1000
10,10,68,1900
52,23,79,3800
49,24,50,4000
94,36,58,800
24,35,54,1900
75,12,77,2900
57,13,80,3000
62,36,74,3500
82,25,65,1000
93,11,55,1000
25,32,77,2200
81,40,52,3000
67,26,78,600
69,18,73,3800
